codigoestacao,veredicto,n_vigencias,vigencia_min,vigencia_max,huecos_vigencia_post_2000,cota_min_cm,cota_max_cm,n_aforos_desde_2000,aforo_datetime_min,aforo_datetime_max,mape_validacion
76115600,sin_curva,,,,,,,,,,
76115800,sin_curva,,,,,,,,,,
76251000,usable_sin_validacion,13.0,2000-04-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,290.0,1300.0,0.0,,,
76290000,sin_curva,,,,,,,,,,
76300000,usable_sin_validacion,12.0,1967-05-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,-50.0,1100.0,0.0,,,
76310000,usable_sin_validacion,38.0,1967-06-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,-200.0,1500.0,0.0,,,
76430900,sin_curva,,,,,,,,,,
76431000,sin_curva,,,,,,,,,,
76440010,sin_curva,,,,,,,,,,
76560000,usable_sin_validacion,9.0,1967-06-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,10.0,1485.0,0.0,,,
76700000,sin_curva,,,,,,,,,,
76742000,usable_sin_validacion,21.0,1977-03-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,-60.0,850.0,0.0,,,
76750000,usable_sin_validacion,19.0,1940-10-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,0.0,1700.0,0.0,,,
76800000,usable_sin_validacion,20.0,1964-03-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,0.0,1350.0,0.0,,,
77150000,usable_sin_validacion,4.0,1982-12-18 00:00:00.0,2023-12-31 00:00:00.0,0.0,70.0,1400.0,0.0,,,
77500000,usable_sin_validacion,9.0,1993-03-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,10.0,1600.0,0.0,,,
80360200,sin_curva,,,,,,,,,,
85076000,sin_curva,,,,,,,,,,
87376000,sin_curva,,,,,,,,,,
